Date / Time,City,State,Shape,Duration,Summary,Posted
4/10/08 21:00,College Station,TX,Circle,5 to 8 seconds,Barely visible cicular craft with small red lights that floated independently over the craft like flies.,6/12/08
4/10/08 04:00,Nevada,TX,Unknown,10 min,On April 10 2008 @ about 4am bight lights heading in from the east towards my house.,4/17/08
4/7/08 22:00,Tuscola,TX,Light,Few Seconds,Ball of light then faded out.  ((NUFORC Note:  Iridium satellite??  PD)),6/12/08
4/3/08 23:00,Winters,TX,Other,<1 minute,Airplanes with silent engines?,4/17/08
4/3/08 16:22,Wichita Falls,TX,Changing,20 seconds,"UFO'S Seen in Wichita Falls, Texas/Sheppard AFB area April 3, 2008",6/12/08
4/1/08 11:20,Orange,TX,Cigar,45 seconds,LARGE DARK CIGAR SHAPED CRAFT,4/17/08
3/28/08 03:30,Fulton,TX,Unknown,2 hrs.,Unexplained noise that DID NOT come from a person or an animal!!!,3/31/08
3/25/08 21:50,Wolfforth,TX,Light,5 minutes,UFO sighted in Lubbock County.,3/31/08
3/25/08 20:45,Freer,TX,Unknown,2 minutes,"Was driving on Hwy. 16, 12 miles south of Freer TX, object apeared in front and above my vehicle at an altitude of 1000 ft., object dis",3/31/08
3/25/08 20:20,Wichita Falls,TX,Changing,25 seconds,edit date,6/12/08
3/24/08 17:38,Paris,TX,Disk,10 seconds,Did anyone else see this,3/31/08
3/22/08 20:30,Center,TX,Flash,8 seconds,"Time:  about 8:30 p.m.  Saturday March 22, 2008  My 14 year old son, my 13 year old daughter, and  I witnessed a very fast moving objec",3/31/08
3/22/08 02:30,Austin,TX,Light,2 mins,Loud Low Rumble followed by Orange Light,3/31/08
3/20/08 19:50,Humble,TX,Triangle,5 minutes,Triangular object hovering above tree tops.,6/3/10
3/20/08 16:10,Dallas,TX,Cigar,35 minutes,Bright white cigar shaped object hovering in Western sky for 35 minutes,3/31/08
3/19/08 23:30,Austin,TX,Triangle,5 min,Triangular or diamond-shaped craft produced rhythmic circular humming as it slowly flew by very low in the sky.,3/31/08
3/11/08 21:45,Woodlands,TX,Oval,55 min,hovering far away object doing zig zags,3/31/08
3/8/08 11:55,Ennis,TX,Sphere,15 seconds,Sphere shaped ship seen over country road.,3/31/08
3/8/08 01:15,Terrell,TX,Disk,3 minutes,"bright pulsating disk, appeared to fall from sky then stopped, hovered and moved north out of sight.",3/31/08
3/7/08 22:40,Texas City,TX,Circle,4 SECONDS,"Bright white ball-shaped light with green trailing light, traveling from low  to high speed.",3/31/08
3/5/08 05:40,Houston,TX,Changing,15 minutes,three changing color groups of lights hovering over rooftops,3/31/08
2/28/08 11:30,Fort Worth,TX,Sphere,30 mins.,"Stationary small white object in the northern sky, not moving.",3/4/08
2/27/08 22:25,Austin,TX,Chevron,15 seconds,UFO over Austin,3/4/08
2/27/08 21:00,Alpine,TX,Triangle,30-45 seconds,triangular shaped object with green steady lights moving slowly with no sound and disappeared.,3/4/08
2/27/08 09:00,College Station,TX,Triangle,30 seconds,college station V shaped lights.,3/4/08
2/26/08 00:25,Dallas,TX,Triangle,1 1/2 min,Triangular craft slow and low over Dallas.,3/31/08
2/25/08 18:15,Brownsville,TX,Cylinder,3 minute,"BROWNSVILLE,TX USA  Date and Time of Sighting? 2-25-08    6:15 PM  Clear weather blue skys conditions at time of sighting. Sighti",3/4/08
