Date / Time,City,State,Shape,Duration,Summary,Posted
6/15/18 05:05,Georgetown,TX,Light,25.0,"My wife and I were in the middle of an early morning walk on June 15, 2018 in Georgetown, Texas (Old Historic District, near Annie Purl",6/15/18
6/15/18 01:00,Waco,TX,Circle,2.0,"I was in pool and my wife was sitting on the edge.We heard a sound to the south west.  It sound like a jet type engine, but not a p",6/20/19
6/9/18 21:45,Prosper,TX,Circle,1.0,"Perfectly round, translucent, iridescent, thin disc seen flying silently above the houses in my neighborhood.((anonymous report))",6/15/18
6/8/18 21:45,Fort Worth,TX,Unknown,14.0,Bright white object moved across binocular field of view.  No collision lights.  ((anonymous report)),6/15/18
6/3/18 00:25,Lubbock,TX,Triangle,5.0,"Triangle object with blinking red, green, and white lights seen in telescope.",6/7/18
6/2/18 22:40,Alvin,TX,Fireball,5.0,I was sitting on my back porch. First I heard coyotes howling and then dogs barking. I first saw two glowing orange orbs approximately,6/7/18
6/1/18 14:00,Katy,TX,Cross,0,((HOAX??))  Scary  ((anonymous report)),6/21/18
5/24/18 13:00,Edinburg,TX,Sphere,25.0,A silver daylight sphere was crossing east to west right in front of me.  Seemed to have cloaked on the photos. ((anonymous report)),11/24/18
5/5/18 21:33,Dickinson,TX,Light,1.0,This object appeared 2 nights in a row. It looked somewhat like Venus when its at its brightest but it was at 280 degrees west at about,5/10/18
5/5/18 11:30,San Antonio,TX,Formation,3.0,20-25 metallic triangular objects spotted on Cinco de Mayo in San Antonio.,5/10/18
5/2/18 20:30,Lamesa,TX,Egg,4.0,"Egg shape object over Lamesa, TX.",5/4/18
4/26/18 22:30,Austin,TX,Triangle,3.0,Faint translucent triangle covered in tiny lights.,8/10/18
4/24/18 00:03,Austin,TX,Other,1.0,I witnessed an unknown object approaching from the S in a N direction about 100 ft behind it.  ((anonymous report)),4/26/18
4/16/18 19:00,Houston,TX,Light,1.5,Up close twinkling  stationary white lights flashing red & green.,4/19/18
4/15/18 06:23,Livingston,TX,Light,1.0,"on my way to work going east on 190hwy, I'm driving and I see this greenish white light (circle /orb) that flew almost parallel with my",3/21/19
4/1/18 03:15,Portland,TX,Sphere,0,Saw 6 spheres separated but close all and not in a pattern or shape traveling noticeably faster than stars but not extremely fast going,4/5/18
3/24/18 19:58,Houston,TX,Disk,5.0,Large bright white disk flew quickly across my house in seconds silently.  ((anonymous report)),4/5/18
3/23/18 21:30,Aledo,TX,Light,30.0,Bright lights hover over pasture.  ((anonymous report)),4/26/18
3/18/18 22:20,Georgetown,TX,Changing,30.0,Three completely silent red lights traveling in the sky which had the ability to alter configuration.,3/23/18
3/16/18 12:00,Cedar Park,TX,Sphere,2.0,High-speed metallic sphere shooting across Central Texas skies.,3/23/18
3/10/18 23:15,San Antonio,TX,Sphere,45.0,Orange sphere travels from E to W/,3/23/18
3/2/18 21:10,Fort Worth,TX,Sphere,76.0,"I observed and filmed a brilliant bright blue sphere moving in the night sky as I stood outside my house in Ft. Worth, TX.",3/23/18
3/1/18 11:00,Midland,TX,Cross,15.0,Object was a double cross shape hovered with no sound then vanished.  ((anonymous report)),3/8/18
2/14/18 20:00,San Antonio,TX,Oval,25.0,"Spacecraft seen by two people over power lines, poles, and electrical cables.",2/22/18
2/6/18 19:28,Anthony,TX,Changing,15.0,Cloudy white orb and I thought I was mistakenly seeing something.  ((NUFORC Note:  Rocket launch.  PD)),2/16/18
2/5/18 06:55,Fort Worth,TX,Circle,20.0,Bluish white bright object flying in a NE direction near Granbury Road and Interstate 20,2/16/18
1/24/18 16:05,Fort Worth,TX,Rectangle,4.0,"White rectangle object crossed over moon, visible through telescope.",1/25/18
1/20/18 21:20,Austin,TX,Triangle,1.0,Triangular object flying over south Austin and I have it on my car camera,8/10/18
1/20/18 08:20,Shamrock,TX,Sphere,4.0,"Bright glowing sphere over Shamrock, TX.",1/25/18
1/18/18 22:52,Burnet,TX,Teardrop,5.0,((HOAX??))  Teardrop type aircraft thing and there was green lights everywhere and then it shot a loser down.  ((anonymous report)),1/25/18
1/17/18 03:19,Houston,TX,Flash,2.0,The colored object in the sky.,6/7/19
1/7/18 02:30,Dallas,TX,Light,7.0,The only reason i spotted is because i looked up and the light was so weird it caused my vision to go blurry and almost see it in doubl,1/11/19
1/6/18 23:55,Uhland,TX,Light,20.0,Red lights.,3/29/18
1/6/18 21:00,Rocksprings,TX,Unknown,4.0,"Edwards County, Texas UFO?  Drone? &gt;9hr Flight time. Irregular Flight Patterns and color changes.",1/12/18
1/6/18 18:34,Brookshire,TX,Light,1.0,I saw this bright orange light rise up over the trees.  It rose pretty quickly.,1/12/18
12/30/17 08:00,Sulphur Springs,TX,Formation,10.0,I was outside and saw about 15-20 fireballs flying in a weird design.,1/12/18
12/25/17 19:00,Garland,TX,Oval,10.0,"After a few minutes of standing outside with them, both of them and I looked up and saw it as it flew off.  ((anonymous report))",1/12/18
12/21/17 06:00,San Antonio,TX,Unknown,10.0,Stationary white light pulsating at about 10 degrees for 10 or so minutes.  ((anonymous report)),12/21/17
12/19/17 05:00,Carbon,TX,Circle,3.0,Red orb.,3/15/19
12/12/17 18:50,San Antonio,TX,Light,5.0,"Red Pulsing Orb/Light over San Antonio, TX",12/14/17
12/12/17 18:00,Sour Lake,TX,Light,3.0,"Staggered, colorful strobing lights spotted southwest of Sour Lake, Texas.  ((NUFORC Note:  Convincing video provided.  PD))",12/14/17
12/10/17 21:00,McKinney,TX,Light,3.0,Myself and 2 roommates winessed a group of UFO's who appeared to be watching us.,2/22/18
12/10/17 20:40,San Antonio,TX,Disk,5.0,4 orangish colored objects flying close together then crossed over each other and disappeared,12/14/17
12/10/17 03:00,Amarillo,TX,Triangle,18.0,I. Woke up an looked at my security cameras an. This. Is. What I saw I have. Seen this. Before. A  large. Bright light which looks lime,12/14/17
12/9/17 21:30,New Braunfels,TX,Formation,40.0,Four orange lights in formation.  ((anonymous report),12/14/17
12/9/17 20:40,Lumberton,TX,Light,1.0,Red lights across the sky.,3/2/18
12/9/17 20:35,Lumberton,TX,Light,2.0,Red flying lights saturate night sky!!,3/2/18
12/7/17 22:10,Houston,TX,Triangle,3.0,Triangle craft that glowed red.,12/8/17
11/13/17 19:30,Burton,TX,Light,5.0,I was outside star-gazing when the event happened.,11/17/17
11/13/17 19:00,Pflugerville,TX,Chevron,5.0,"Spheres over Pflugerville, TX.",11/17/17
11/3/17 07:10,San Antonio,TX,Cigar,4.0,"Ufo spotted, right before it vanished.",11/9/17
10/26/17 16:00,Austin,TX,Disk,2.0,"Bright silvery object that appeared to change back and forth from a tube to a saucer high above Austin, TX",11/3/17
10/24/17 23:00,Houston,TX,Sphere,5.0,((NUFORC Note:  Witness provides no information about her presumed sighting.  PD)),11/3/17
10/23/17 20:00,El Paso (NE; Fairbanks & Rushing),TX,Other,7.0,Silent flying wing moving NE for about 7 seconds.,11/3/17
10/23/17 19:15,Sherman,TX,Disk,1.0,"This is the second time in 3 years that I've seen a UFO while driving on Hwy. 75 in Sherman, Texas.This evening, at 7:15 P.M., head",11/3/17
10/23/17 01:02,Rowlett,TX,Egg,15.0,"Bright light unlike a star or planet, it seemed to glow",11/3/17
10/23/17 00:00,Houston,TX,Triangle,10.0,I stepped outside to look at the clear moonless sky. My location is 10 miles west of Intercontinental Airport Houston IAH. I have never,11/3/17
10/16/17 06:15,Huntsville,TX,Circle,5.0,Saw ball of light move low to ground and back up.,10/19/17
